site,substrate,embed,regime,sediment,flow,channel,riffles,bank_left,bank_right,veg_left,veg_right,riparian_left,riparian_right
Site1,5,5,3,4,7,20,19,3,4,4,5,6,4
Site1,4,4,5,3,6,20,17,4,5,6,4,5,3
Site1,6,5,6,4,7,20,20,5,5,6,5,6,4
Site2,7,3,2,2,7,20,20,2,6,4,5,6,5
Site2,6,2,3,3,8,20,20,3,5,5,6,6,4
Site2,8,3,1,3,5,20,20,1,4,3,7,6,5
Site3,5,3,4,4,6,20,20,6,6,5,3,5,4
Site3,4,4,3,5,5,20,19,5,6,4,5,4,3
Site3,5,3,5,3,7,20,19,4,6,5,3,5,2
Site4,8,5,3,5,4,20,18,3,4,5,6,4,4
Site4,7,4,5,3,5,20,20,5,3,4,5,5,4
Site4,5,4,3,5,6,20,17,6,5,6,6,3,4
Site5,12,15,14,12,7,20,20,11,9,6,7,10,10
Site5,10,12,12,10,7,20,20,12,10,8,7,11,11
Site5,11,15,14,11,8,20,20,10,10,8,8,10,10
Site6,13,13,12,13,6,20,18,10,9,8,9,11,10
Site6,12,11,15,10,5,20,19,9,10,7,8,12,10
Site6,10,13,13,12,7,20,18,11,9,9,9,10,10
Site7,11,11,13,14,6,20,17,10,8,6,7,12,9
Site7,13,12,12,12,8,20,19,11,11,7,8,13,11
Site7,12,11,10,12,8,20,16,10,10,7,7,12,10
Site8,14,14,13,10,7,20,19,10,11,8,6,11,10
Site8,10,12,15,11,5,20,20,9,9,6,7,10,12
Site8,11,15,14,9,7,20,20,10,10,6,6,12,10
