site,Number of Coleoptera Taxa,Number EPT Taxa,Number Predator Taxa,% CF+ CG Individuals,% Intolerant Individuals,% Non-insect Taxa,% Tolerant Taxa,IBI
1,2,3,2,1,1,9,5,32.8571429
1,2,3,3,1,1,10,4,34.2857143
1,0,2,1,2,1,10,3,27.1428571
1,2,2,0,1,1,10,4,28.5714286
1,3,3,1,2,1,10,3,32.8571429
2,4,4,2,0,1,10,4,35.7142857
2,1,3,2,3,0,10,2,30
2,2,3,1,1,0,10,5,31.4285714
2,3,3,1,1,0,10,4,31.4285714
2,2,2,2,1,1,10,2,28.5714286
3,2,3,2,2,2,9,4,34.2857143
3,2,5,2,1,0,10,3,32.8571429
3,2,2,2,3,0,10,2,30
3,2,1,2,1,0,9,5,28.5714286
3,2,3,1,0,1,8,3,25.7142857
4,8,9,3,10,4,10,6,71.4285714
4,9,8,6,10,6,10,5,77.1428571
4,10,8,6,10,6,9,6,78.5714286
4,7,9,5,10,6,10,7,77.1428571
4,8,9,5,10,5,10,7,77.1428571
5,8,10,7,10,4,10,6,78.5714286
5,8,8,5,9,5,9,6,71.4285714
5,9,8,6,10,5,9,5,74.2857143
5,7,9,3,10,4,10,8,72.8571429
5,8,9,6,10,3,9,7,74.2857143
6,10,10,5,10,6,10,7,82.8571429
6,9,7,6,9,4,9,9,75.7142857
6,9,10,3,8,5,10,6,72.8571429
6,10,7,7,10,7,10,7,82.8571429
6,7,8,7,10,4,10,9,78.5714286
